CL_BOP_INDICATOR,Balance of Payments (BOP) Indicator
DCNRES_DIC_S122_S,"Debt claims on nonresidents, Deposit taking corporations, except the Central Bank, Short-term"
DCNRES_DIC_S121,"Debt claims on nonresidents, Central bank"
DLNRES_DIC_S122_S,"Debt liabilities to nonresidents, Deposit taking corporations, except the Central Bank, Short-term"
DLNRES_DIC_S121,"Debt liabilities to nonresidents, Central bank"
DCNRES_DIC_S1ZOTH,"Debt claims on nonresidents, Other sectors: Other"
DCNRES_DIC_S13,"Debt claims on nonresidents, General government"
DLNRES_DIC_S1ZOTH_S,"Debt liabilities to nonresidents, Other sectors: Other, Short-term"
DLNRES_DIC_S121_S,"Debt liabilities to nonresidents, Central bank, Short-term"
DCNRES_DIC_S13_S,"Debt claims on nonresidents, General government, Short-term"
DLNRES_DIC_S13,"Debt liabilities to nonresidents, General government"
DCNRES_DIC_S1ZOTH_S,"Debt claims on nonresidents, Other sectors: Other, Short-term"
DLNRES_DIC_S13_S,"Debt liabilities to nonresidents, General government, Short-term"
DLNRES_DIC_S12R_S,"Debt liabilities to nonresidents, Other financial corporations, Short-term"
DCNRES_DIC_S121_S,"Debt claims on nonresidents, Central bank, Short-term"
DLNRES_DIC_S1ZOTH,"Debt liabilities to nonresidents, Other sectors: Other"
DLNRES_DIC_S12R,"Debt liabilities to nonresidents, Other financial corporations"
DCNRES_DIC_S12R_S,"Debt claims on nonresidents, Other financial corporations, Short-term"
DCNRES_DIC_S12R,"Debt claims on nonresidents, Other financial corporations"
F7FCT_DIC_S1Z,"Foreign currency derivatives by sector notional value of contracts with nonresidents total, Other Sectors (BPM6)"
F_F7,Financial derivatives (other than reserves) and employee stock options
O_F2,"Other investment, Currency and deposits"
O_F81,"Other investment, Trade credits and advances"
O_F4,"Other investment, Loans"
O_F8AR,"Other investment, Other accounts receivable"
O_F519,"Other investment, Other equity"
O_F8AP,"Other investment, Other accounts payable"
F_F7_S121,"Financial derivatives (other than reserves) and employee stock options, Central bank"
O_F12_S1N,"Other investment, Special Drawing Rights (SDRs), Not sectorised"
O_F8AR_S121,"Other investment, Other accounts receivable, Central bank"
F_F7_S13,"Financial derivatives (other than reserves) and employee stock options, General government"
O_F81_S121,"Other investment, Trade credits and advances, Central bank"
O_F2_S121,"Other investment, Currency and deposits, Central bank"
R_F11,"Reserve assets, Monetary gold"
F_F7_S122,"Financial derivatives (other than reserves) and employee stock options, Deposit taking corporations, except the Central Bank"
R_FK_S121,"Reserve assets, Reserve position in the IMF, Central bank"
O_F2_S13,"Other investment, Currency and deposits, General government"
O_F4_S121,"Other investment, Loans, Central bank"
O_F81_S13,"Other investment, Trade credits and advances, General government"
O_F8AR_S13,"Other investment, Other accounts receivable, General government"
P_F3_S122_L,"Portfolio investment, Debt securities, Deposit taking corporations, except the Central Bank, Long-term"
P_F5_S122,"Portfolio investment, Equity and investment fund shares, Deposit taking corporations, except the Central Bank"
P_F3_S122_S,"Portfolio investment, Debt securities, Deposit taking corporations, except the Central Bank, Short-term"
F_F7_S1X,"Financial derivatives (other than reserves) and employee stock options, Monetary authorities"
P_F3,"Portfolio investment, Debt securities"
O_F4_S122_S,"Other investment, Loans, Deposit taking corporations, except the Central Bank, Short-term"
O_F8AR_S122_L,"Other investment, Other accounts receivable, Deposit taking corporations, except the Central Bank, Long-term"
O_F8AR_S122_S,"Other investment, Other accounts receivable, Deposit taking corporations, except the Central Bank, Short-term"
O_F4_S122_L,"Other investment, Loans, Deposit taking corporations, except the Central Bank, Long-term"
F_F7_S12R,"Financial derivatives (other than reserves) and employee stock options, Other financial corporations"
O_F8AR_S121_L,"Other investment, Other accounts receivable, Central bank, Long-term"
O_F2_S122,"Other investment, Currency and deposits, Deposit taking corporations, except the Central Bank"
O_F81_S122,"Other investment, Trade credits and advances, Deposit taking corporations, except the Central Bank"
O_F8AP_S122_S,"Other investment, Other accounts payable, Deposit taking corporations, except the Central Bank, Short-term"
O_F2_S121_L,"Other investment, Currency and deposits, Central bank, Long-term"
O_F2_S121_S,"Other investment, Currency and deposits, Central bank, Short-term"
O_F8AP_S122_L,"Other investment, Other accounts payable, Deposit taking corporations, except the Central Bank, Long-term"
R_F12_S1N,"Reserve assets, Special Drawing Rights (SDRs), Not sectorised"
P_F3_S122,"Portfolio investment, Debt securities, Deposit taking corporations, except the Central Bank"
P_F,"Portfolio investment, Total financial assets/liabilities"
R_F11A_S1N,"Reserve assets, Monetary gold: gold bullion, Not sectorised"
O_F8AR_S1X,"Other investment, Other accounts receivable, Monetary authorities"
O_F4_S13,"Other investment, Loans, General government"
O_F4_S122,"Other investment, Loans, Deposit taking corporations, except the Central Bank"
O_F8AP_S122,"Other investment, Other accounts payable, Deposit taking corporations, except the Central Bank"
O_F2_S1X,"Other investment, Currency and deposits, Monetary authorities"
R_F2,"Reserve assets, Currency and deposits"
P_F3_FEF72_S121,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, on interest/coupon (memo item: o/w exceptional financing), Central bank"
R_F71,"Reserve assets, Financial derivatives"
P_F3_FEF71_S121,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, on principal (memo item: o/w exceptional financing), Central bank"
O_F8AR_S122,"Other investment, Other accounts receivable, Deposit taking corporations, except the Central Bank"
O_F81_S1X,"Other investment, Trade credits and advances, Monetary authorities"
O_F2_S13_S,"Other investment, Currency and deposits, General government, Short-term"
P_F5_S13,"Portfolio investment, Equity and investment fund shares, General government"
F_F72,"Financial derivatives and employee stock options, Employee stock options"
O_F2_S13_L,"Other investment, Currency and deposits, General government, Long-term"
P_F3_S13_S,"Portfolio investment, Debt securities, General government, Short-term"
O_F2_S122_S,"Other investment, Currency and deposits, Deposit taking corporations, except the Central Bank, Short-term"
F_F711A,"Financial derivatives and employee stock options, Financial derivatives (other than reserves) options"
P_F5_S1X,"Portfolio investment, Equity and investment fund shares, Monetary authorities"
O_F81_S12R,"Other investment, Trade credits and advances, Other financial corporations"
O_F2_S12R,"Other investment, Currency and deposits, Other financial corporations"
O_F8AR_S13_L,"Other investment, Other accounts receivable, General government, Long-term"
R_F5,"Reserve assets, Equity and investment fund shares"
O_F2_S12R_L,"Other investment, Currency and deposits, Other financial corporations, Long-term"
P_F3_S13_L,"Portfolio investment, Debt securities, General government, Long-term"
P_F3_S12R_S,"Portfolio investment, Debt securities, Other financial corporations, Short-term"
O_F2_S122_L,"Other investment, Currency and deposits, Deposit taking corporations, except the Central Bank, Long-term"
O_F8AR_S13_S,"Other investment, Other accounts receivable, General government, Short-term"
O_F8AP_S13,"Other investment, Other accounts payable, General government"
P_F3_FEF72_S13,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, on interest/coupon (memo item: o/w exceptional financing), General government"
F_F7_S1V,"Financial derivatives (other than reserves) and employee stock options, Non financial corporations, households and NPISH"
O_F2_S12R_S,"Other investment, Currency and deposits, Other financial corporations, Short-term"
R_F3_L,"Reserve assets, Debt securities, Long-term"
R_F3_S,"Reserve assets, Debt securities, Short-term"
P_F3_FEF7_S121,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, total (memo item: o/w exceptional financing), Central bank"
F_F71,"Financial derivatives and employee stock options, Financial derivatives"
P_F3_S121_L,"Portfolio investment, Debt securities, Central bank, Long-term"
P_F3_S121_S,"Portfolio investment, Debt securities, Central bank, Short-term"
O_F8AR_S12R,"Other investment, Other accounts receivable, Other financial corporations"
O_F8AP_S13_L,"Other investment, Other accounts payable, General government, Long-term"
P_F5_S121,"Portfolio investment, Equity and investment fund shares, Central bank"
O_F8AP_S13_S,"Other investment, Other accounts payable, General government, Short-term"
P_F3_FEF71_S13,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, on principal (memo item: o/w exceptional financing), General government"
P_F3_S12R_L,"Portfolio investment, Debt securities, Other financial corporations, Long-term"
O_F8AP_S121,"Other investment, Other accounts payable, Central bank"
O_F8AP_S12R,"Other investment, Other accounts payable, Other financial corporations"
P_F3_S1X_S,"Portfolio investment, Debt securities, Monetary authorities, Short-term"
O_F8AR_S1X_L,"Other investment, Other accounts receivable, Monetary authorities, Long-term"
O_F8AR_S12R_S,"Other investment, Other accounts receivable, Other financial corporations, Short-term"
O_F8AR_S12R_L,"Other investment, Other accounts receivable, Other financial corporations, Long-term"
P_F3_FEF52_S121,"Portfolio investment, Debt securities, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Central bank"
O_F8AP_S12R_L,"Other investment, Other accounts payable, Other financial corporations, Long-term"
O_F221_S122,"Other investment, Inter-bank positions, Deposit taking corporations, except the Central Bank"
O_F8AR_S1X_S,"Other investment, Other accounts receivable, Monetary authorities, Short-term"
O_F4_S121_L,"Other investment, Loans, Central bank, Long-term"
P_F3_FEF7_S13,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, total (memo item: o/w exceptional financing), General government"
O_F8AP_S12R_S,"Other investment, Other accounts payable, Other financial corporations, Short-term"
O_F4_S121_S,"Other investment, Loans, Central bank, Short-term"
R_F3,"Reserve assets, Debt securities"
O_F8AP_S1X,"Other investment, Other accounts payable, Monetary authorities"
O_F8AR_S121_S,"Other investment, Other accounts receivable, Central bank, Short-term"
P_F3_S13,"Portfolio investment, Debt securities, General government"
P_F3_S1X_L,"Portfolio investment, Debt securities, Monetary authorities, Long-term"
P_F3_FEF53_S121,"Portfolio investment, Debt securities, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Central bank"
O_F4_S1X,"Other investment, Loans, Monetary authorities"
O_F2_S1X_L,"Other investment, Currency and deposits, Monetary authorities, Long-term"
P_F3_S1X,"Portfolio investment, Debt securities, Monetary authorities"
O_F8AP_S121_S,"Other investment, Other accounts payable, Central bank, Short-term"
O_F4_S12R_S,"Other investment, Loans, Other financial corporations, Short-term"
P_F3_FEF82_S121,"Portfolio investment, Debt securities, Cancellation of arrears on interest/coupon (memo item: o/w exceptional financing), Central bank"
R_F2_S121,"Reserve assets, Currency and deposits, Central bank"
P_F3_FEF42_S121,"Portfolio investment, Debt securities, Rescheduling of arrears on interest/coupon (memo item: o/w exceptional financing), Central bank"
O_F4_S12R_L,"Other investment, Loans, Other financial corporations, Long-term"
O_F4_S13_S,"Other investment, Loans, General government, Short-term"
O_F4_S13_L,"Other investment, Loans, General government, Long-term"
P_F3_S12R,"Portfolio investment, Debt securities, Other financial corporations"
O_F4_S12R,"Other investment, Loans, Other financial corporations"
O_F2_S1X_S,"Other investment, Currency and deposits, Monetary authorities, Short-term"
O_F8AP_S121_L,"Other investment, Other accounts payable, Central bank, Long-term"
P_F3_D41,"Portfolio investment, Debt securities, Investment income, interest income"
O_D41,"Other investment, Investment income, interest income"
P_F3_S121,"Portfolio investment, Debt securities, Central bank"
O_D41G,"Other investment, Investment income on interest before FISIM"
P_F3_FEF71_S12R,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, on principal (memo item: o/w exceptional financing), Other financial corporations"
D_D41G,"Direct investment, Investment income on interest before FISIM"
O_F2_S1V,"Other investment, Currency and deposits, Non financial corporations, households and NPISH"
P_F3_FEF51_S121,"Portfolio investment, Debt securities, Accumulation of arrears on principal (memo item: o/w exceptional financing), Central bank"
P_F3_FEF81_S121,"Portfolio investment, Debt securities, Cancellation of arrears on principal (memo item: o/w exceptional financing), Central bank"
F_F712,"Financial derivatives and employee stock options, Forward type"
P_F3_FEF41_S121,"Portfolio investment, Debt securities, Rescheduling of arrears on principal (memo item: o/w exceptional financing), Central bank"
O_F81_S1V,"Other investment, Trade credits and advances, Non financial corporations, households and NPISH"
O_F8AP_S1X_S,"Other investment, Other accounts payable, Monetary authorities, Short-term"
P_F3_FEF53_S13,"Portfolio investment, Debt securities, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), General government"
P_F5,"Portfolio investment, Equity and investment fund shares"
F_FEF9,"Total financial assets/liabilities, Arrears not in exceptional financing (supplementary item: o/w)"
P_F3_FEF42_S13,"Portfolio investment, Debt securities, Rescheduling of arrears on interest/coupon (memo item: o/w exceptional financing), General government"
R_F2_S122,"Reserve assets, Currency and deposits, Deposit taking corporations, except the Central Bank"
O_F8AR_S1V,"Other investment, Other accounts receivable, Non financial corporations, households and NPISH"
O_F8AR_S1Z,"Other investment, Other accounts receivable, Other Sectors (BPM6)"
P_F3_FEF82_S13,"Portfolio investment, Debt securities, Cancellation of arrears on interest/coupon (memo item: o/w exceptional financing), General government"
P_F3_FEF_S122,"Portfolio investment, Debt securities, Total exceptional financing, Deposit taking corporations, except the Central Bank"
P_F3_FEF81_S13,"Portfolio investment, Debt securities, Cancellation of arrears on principal (memo item: o/w exceptional financing), General government"
R_F_D41,"Reserve assets, Total financial /liabilities, Investment income, interest income"
R_F_D41G,"Reserve assets, Total financial /liabilities, Investment income on interest before FISIM"
P_F3_FEF62_S121,"Portfolio investment, Debt securities, Repayment of arrears on interest/coupon (memo item: o/w exceptional financing), Central bank"
R_F11B_S12K,"Reserve assets, Unallocated gold accounts, Monetary financial institutions (MFI)"
P_F3_FEF51_S13,"Portfolio investment, Debt securities, Accumulation of arrears on principal (memo item: o/w exceptional financing), General government"
P_F3_FEF41_S13,"Portfolio investment, Debt securities, Rescheduling of arrears on principal (memo item: o/w exceptional financing), General government"
P_F3_FEF61_S121,"Portfolio investment, Debt securities, Repayment of arrears on principal (memo item: o/w exceptional financing), Central bank"
O_F8AP_S1X_L,"Other investment, Other accounts payable, Monetary authorities, Long-term"
O_F8AP_S1V,"Other investment, Other accounts payable, Non financial corporations, households and NPISH"
P_F3_FEF5_S121,"Portfolio investment, Debt securities, Accumulation of arrears: total (memo item: o/w exceptional financing), Central bank"
P_F3_FEF4_S121,"Portfolio investment, Debt securities, Rescheduling of arrears: total (memo item: o/w exceptional financing), Central bank"
P_F3_FEF8_S121,"Portfolio investment, Debt securities, Cancellation of arrears total (memo item: o/w exceptional financing), Central bank"
P_F3_FEF7_S12R,"Portfolio investment, Debt securities, Rescheduling of payments due in current reporting period, total (memo item: o/w exceptional financing), Other financial corporations"
O_F2_S1Z,"Other investment, Currency and deposits, Other Sectors (BPM6)"
O_F81_S1Z,"Other investment, Trade credits and advances, Other Sectors (BPM6)"
P_F3_FEF52_S13,"Portfolio investment, Debt securities, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), General government"
P_F3_FEF62_S13,"Portfolio investment, Debt securities, Repayment of arrears on interest/coupon (memo item: o/w exceptional financing), General government"
P_F3_FEF61_S13,"Portfolio investment, Debt securities, Repayment of arrears on principal (memo item: o/w exceptional financing), General government"
O_F4_S1X_S,"Other investment, Loans, Monetary authorities, Short-term"
P_F3_FEF42_S12R,"Portfolio investment, Debt securities, Rescheduling of arrears on interest/coupon (memo item: o/w exceptional financing), Other financial corporations"
O_F4_S1X_L,"Other investment, Loans, Monetary authorities, Long-term"
P_F52B,"Portfolio investment, Investment fund shares/units: reinvestment of earnings"
P_F3_FEF8_S13,"Portfolio investment, Debt securities, Cancellation of arrears total (memo item: o/w exceptional financing), General government"
R_F,"Reserve assets, Total financial /liabilities"
P_F3_FEF53_S12R,"Portfolio investment, Debt securities, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Other financial corporations"
P_F3_FEF82_S12R,"Portfolio investment, Debt securities, Cancellation of arrears on interest/coupon (memo item: o/w exceptional financing), Other financial corporations"
O_TLIMFOTR_S121,"Other investment, Credit and loans with the IMF: other than reserves, Central bank"
O_F8AR_S1V_L,"Other investment, Other accounts receivable, Non financial corporations, households and NPISH, Long-term"
P_F3_FEF5_S13,"Portfolio investment, Debt securities, Accumulation of arrears: total (memo item: o/w exceptional financing), General government"
P_F3_FEF51_S12R,"Portfolio investment, Debt securities, Accumulation of arrears on principal (memo item: o/w exceptional financing), Other financial corporations"
O_TLIMFOTR_S13,"Other investment, Credit and loans with the IMF: other than reserves, General government"
P_F3_FEF81_S12R,"Portfolio investment, Debt securities, Cancellation of arrears on principal (memo item: o/w exceptional financing), Other financial corporations"
P_F3_FEF41_S12R,"Portfolio investment, Debt securities, Rescheduling of arrears on principal (memo item: o/w exceptional financing), Other financial corporations"
P_F3_FEF42_S1P,"Portfolio investment, Debt securities, Rescheduling of arrears on interest/coupon (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF6_S121,"Portfolio investment, Debt securities, Repayment of arrears: total (memo item: o/w exceptional financing), Central bank"
P_F3_FEF4_S13,"Portfolio investment, Debt securities, Rescheduling of arrears: total (memo item: o/w exceptional financing), General government"
P_F3_FEF82_S1P,"Portfolio investment, Debt securities, Cancellation of arrears on interest/coupon (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF62_S12R,"Portfolio investment, Debt securities, Repayment of arrears on interest/coupon (memo item: o/w exceptional financing), Other financial corporations"
O_F2_S1V_S,"Other investment, Currency and deposits, Non financial corporations, households and NPISH, Short-term"
O_F8AR_S1Z_L,"Other investment, Other accounts receivable, Other Sectors (BPM6), Long-term"
O_F8AR_S1V_S,"Other investment, Other accounts receivable, Non financial corporations, households and NPISH, Short-term"
P_F3_FEF53_S1P,"Portfolio investment, Debt securities, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
R_F_D4P,"Reserve assets, Total financial /liabilities, Investment income on other investment income"
P_F3_FEF62_S1P,"Portfolio investment, Debt securities, Repayment of arrears on interest/coupon (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F51,"Portfolio investment, Equity"
P_F3_FEF81_S1P,"Portfolio investment, Debt securities, Cancellation of arrears on principal (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF41_S1P,"Portfolio investment, Debt securities, Rescheduling of arrears on principal (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF52_S12R,"Portfolio investment, Debt securities, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Other financial corporations"
P_F52,"Portfolio investment, Investment fund shares/units"
P_F3_FEF51_S1P,"Portfolio investment, Debt securities, Accumulation of arrears on principal (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_F2_S1V_L,"Other investment, Currency and deposits, Non financial corporations, households and NPISH, Long-term"
P_F3_FEF61_S12R,"Portfolio investment, Debt securities, Repayment of arrears on principal (memo item: o/w exceptional financing), Other financial corporations"
O_F4_S1V,"Other investment, Loans, Non financial corporations, households and NPISH"
P_F3_FEF,"Portfolio investment, Debt securities, Total exceptional financing"
O_F2_S1Z_L,"Other investment, Currency and deposits, Other Sectors (BPM6), Long-term"
O_F89,"Other investment, Other accounts receivable/payable: excluding trade credits and advances"
P_F3_FEF61_S1P,"Portfolio investment, Debt securities, Repayment of arrears on principal (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF6_S13,"Portfolio investment, Debt securities, Repayment of arrears: total (memo item: o/w exceptional financing), General government"
O_F4_S1Z,"Other investment, Loans, Other Sectors (BPM6)"
O_F8AP_S1V_L,"Other investment, Other accounts payable, Non financial corporations, households and NPISH, Long-term"
P_F3_FEF3_S122,"Portfolio investment, Debt securities, Prepayment/buyback (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_F8AP_S1V_S,"Other investment, Other accounts payable, Non financial corporations, households and NPISH, Short-term"
P_F3_FEF5_S12R,"Portfolio investment, Debt securities, Accumulation of arrears: total (memo item: o/w exceptional financing), Other financial corporations"
P_F3_FEF8_S12R,"Portfolio investment, Debt securities, Cancellation of arrears total (memo item: o/w exceptional financing), Other financial corporations"
P_F3_FEF4_S12R,"Portfolio investment, Debt securities, Rescheduling of arrears: total (memo item: o/w exceptional financing), Other financial corporations"
P_F3_FEF6_S122,"Portfolio investment, Debt securities, Repayment of arrears: total (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
P_F3_FEF_S13,"Portfolio investment, Debt securities, Total exceptional financing, General government"
O_F8AP_S1Z,"Other investment, Other accounts payable, Other Sectors (BPM6)"
O_TLIMFOTR_S1X,"Other investment, Credit and loans with the IMF: other than reserves, Monetary authorities"
P_F3_FEF52_S1P,"Portfolio investment, Debt securities, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF_S121,"Portfolio investment, Debt securities, Total exceptional financing, Central bank"
P_F3_FEF8_S1P,"Portfolio investment, Debt securities, Cancellation of arrears total (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF5_S1P,"Portfolio investment, Debt securities, Accumulation of arrears: total (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F3_FEF4_S1P,"Portfolio investment, Debt securities, Rescheduling of arrears: total (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
O_F2_S1Z_S,"Other investment, Currency and deposits, Other Sectors (BPM6), Short-term"
O_F12_FEF4,"Other investment, Special Drawing Rights (SDRs), Rescheduling of arrears: total (memo item: o/w exceptional financing)"
P_F3_FEF6_S12R,"Portfolio investment, Debt securities, Repayment of arrears: total (memo item: o/w exceptional financing), Other financial corporations"
O_F12_FEF_S1N,"Other investment, Special Drawing Rights (SDRs), Total exceptional financing, Not sectorised"
P_F3_FEF_S1P,"Portfolio investment, Debt securities, Total exceptional financing, Other sectors than MFIs and general government"
O_F12_FEF5,"Other investment, Special Drawing Rights (SDRs), Accumulation of arrears: total (memo item: o/w exceptional financing)"
P_F511,"Portfolio investment, Listed shares"
O_F12_FEF8,"Other investment, Special Drawing Rights (SDRs), Cancellation of arrears total (memo item: o/w exceptional financing)"
P_F3_FEF6_S1P,"Portfolio investment, Debt securities, Repayment of arrears: total (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
P_F512,"Portfolio investment, Unlisted shares"
P_F3_S1Z,"Portfolio investment, Debt securities, Other Sectors (BPM6)"
P_F3_FEF82_S1V,"Portfolio investment, Debt securities, Cancellation of arrears on interest/coupon (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F3_FEF61_S122,"Portfolio investment, Debt securities, Repayment of arrears on principal (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
R_FR2,"Reserve assets, Other reserve  (currency, deposits, securities, financial derivatives and other claims)"
P_F3_FEF62_S1V,"Portfolio investment, Debt securities, Repayment of arrears on interest/coupon (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F3_FEF81_S1V,"Portfolio investment, Debt securities, Cancellation of arrears on principal (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F3_FEF51_S1V,"Portfolio investment, Debt securities, Accumulation of arrears on principal (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F3_FEF42_S1V,"Portfolio investment, Debt securities, Rescheduling of arrears on interest/coupon (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F3_FEF53_S1V,"Portfolio investment, Debt securities, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F3_FEF41_S1V,"Portfolio investment, Debt securities, Rescheduling of arrears on principal (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
D_F3,"Direct investment, Debt securities"
P_F3_FEF_S12R,"Portfolio investment, Debt securities, Total exceptional financing, Other financial corporations"
O_F4_S1V_S,"Other investment, Loans, Non financial corporations, households and NPISH, Short-term"
O_F4_S1V_L,"Other investment, Loans, Non financial corporations, households and NPISH, Long-term"
P_F3_FEF42_S122,"Portfolio investment, Debt securities, Rescheduling of arrears on interest/coupon (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_F4_S1Z_S,"Other investment, Loans, Other Sectors (BPM6), Short-term"
O_F4_S1Z_L,"Other investment, Loans, Other Sectors (BPM6), Long-term"
P_F3_FEF53_S122,"Portfolio investment, Debt securities, Accumulation of arrears on penalty interest (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
P_F3_S1V,"Portfolio investment, Debt securities, Non financial corporations, households and NPISH"
P_F3_FEF62_S122,"Portfolio investment, Debt securities, Repayment of arrears on interest/coupon (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
P_F3_FEF61_S1V,"Portfolio investment, Debt securities, Repayment of arrears on principal (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F3_FEF82_S122,"Portfolio investment, Debt securities, Cancellation of arrears on interest/coupon (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_F8AP_S1Z_S,"Other investment, Other accounts payable, Other Sectors (BPM6), Short-term"
O_F12_FEF6,"Other investment, Special Drawing Rights (SDRs), Repayment of arrears: total (memo item: o/w exceptional financing)"
P_F3_FEF52_S1V,"Portfolio investment, Debt securities, Accumulation of arrears on original interest/coupon (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
O_F8AP_S1Z_L,"Other investment, Other accounts payable, Other Sectors (BPM6), Long-term"
P_F3_FEF41_S122,"Portfolio investment, Debt securities, Rescheduling of arrears on principal (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
FK_AFR,"Reserve position in the IMF, Adjusted using IMF accounting records"
P_F3_FEF51_S122,"Portfolio investment, Debt securities, Accumulation of arrears on principal (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
P_F3_FEF81_S122,"Portfolio investment, Debt securities, Cancellation of arrears on principal (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
O_FLA1_FEF8_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Cancellation of arrears total (memo item: o/w exceptional financing), Central bank"
O_FLA1_FEF_S122,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Total exceptional financing, Deposit taking corporations, except the Central Bank"
P_F3_FEF5_S122,"Portfolio investment, Debt securities, Accumulation of arrears: total (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
P_F3_S1V_S,"Portfolio investment, Debt securities, Non financial corporations, households and NPISH, Short-term"
O_FLA1_FEF6_S121,"Other investment, Debt instruments other than SDRs, insurance, pension, and standardised schemes, Repayment of arrears: total (memo item: o/w exceptional financing), Central bank"
P_F3_FEF8_S1V,"Portfolio investment, Debt securities, Cancellation of arrears total (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F3_S1V_L,"Portfolio investment, Debt securities, Non financial corporations, households and NPISH, Long-term"
R_FR41,"Reserve assets, Other claims (other reserve )"
P_F3_FEF8_S122,"Portfolio investment, Debt securities, Cancellation of arrears total (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
P_F3_FEF4_S1V,"Portfolio investment, Debt securities, Rescheduling of arrears: total (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F3_FEF5_S1V,"Portfolio investment, Debt securities, Accumulation of arrears: total (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F3_FEF4_S122,"Portfolio investment, Debt securities, Rescheduling of arrears: total (memo item: o/w exceptional financing), Deposit taking corporations, except the Central Bank"
P_F3_S1Z_L,"Portfolio investment, Debt securities, Other Sectors (BPM6), Long-term"
P_F5_S12R,"Portfolio investment, Equity and investment fund shares, Other financial corporations"
P_F3_FEF6_S1V,"Portfolio investment, Debt securities, Repayment of arrears: total (memo item: o/w exceptional financing), Non financial corporations, households and NPISH"
P_F3_S1Z_S,"Portfolio investment, Debt securities, Other Sectors (BPM6), Short-term"
P_F52_S123,"Portfolio investment, Investment fund shares/units, Money market funds"
P_F5_S1Z,"Portfolio investment, Equity and investment fund shares, Other Sectors (BPM6)"
R_FR1,"Reserve assets, Securities (equity, investment fund shares/units and debt securities)"
P_F3_FEF3_S121,"Portfolio investment, Debt securities, Prepayment/buyback (memo item: o/w exceptional financing), Central bank"
P_F3_FEF3_S13,"Portfolio investment, Debt securities, Prepayment/buyback (memo item: o/w exceptional financing), General government"
P_F3_FEF3_S1P,"Portfolio investment, Debt securities, Prepayment/buyback (memo item: o/w exceptional financing), Other sectors than MFIs and general government"
