CL_BOP_INDICATOR,Balance of Payments (BOP) Indicator
SC21Z,"Air transport; Passenger; Of which: Payable by border, seasonal, and other short-term workers"
D_FL_FEF8,"Direct investment, Debt instruments, Cancellation of arrears total (memo item: o/w exceptional financing)"
O_F2_S1V_S_NV,"Other investment, Currency and deposits, Non financial corporations, households and NPISH, Short-term"
O_F81_S13_L,"Other investment, Trade credits and advances, General government, Long-term"
O_F,"Other investment, Total financial assets/liabilities"
D99A_S13,"Other capital transfers: debt forgiveness, General government"
O_F81_S1X_L,"Other investment, Trade credits and advances, Monetary authorities, Long-term"
O_F81_S12R_S,"Other investment, Trade credits and advances, Other financial corporations, Short-term"
P_F5_S1X_MV,"Portfolio investment, Equity and investment fund shares, Monetary authorities"
O_F81_S12R_L,"Other investment, Trade credits and advances, Other financial corporations, Long-term"
O_F4_S121_L_NV,"Other investment, Loans, Central bank, Long-term"
O_F4_AFR,"Other investment, Loans, Adjusted using IMF accounting records"
O_F81_S1X_S,"Other investment, Trade credits and advances, Monetary authorities, Short-term"
D_F51_FEF1,"Direct investment, Equity, Equity investment associated with debt reduction (memo item: o/w exceptional financing)"
SJ3,"Technical, trade-related, and other business services"
D_FL_FEF4,"Direct investment, Debt instruments, Rescheduling of arrears: total (memo item: o/w exceptional financing)"
D9A_S13,"Capital transfers other than debt forgiveness, General government"
CABXEF,Current account balance excluding exceptional financing
SB,Maintenance and repair services n.i.e.
TCDCA,Total current account credit/revenue
TCDKA,Total capital account credit/revenue
D_FL_FEF5,"Direct investment, Debt instruments, Accumulation of arrears: total (memo item: o/w exceptional financing)"
SC31Z,"Other modes of transport; passenger; payable by border, seasonal, and other short-term workers"
G2,Net exports of goods under merchanting
O_F4_S121_S_NV,"Other investment, Loans, Central bank, Short-term"
O_F2_S122_L_NV,"Other investment, Currency and deposits, Deposit taking corporations, except the Central Bank, Long-term"
O_F4_S1V_S_NV,"Other investment, Loans, Non financial corporations, households and NPISH, Short-term"
O_F2_S122_S_NV,"Other investment, Currency and deposits, Deposit taking corporations, except the Central Bank, Short-term"
